Bundle,Subcat,Article
de la existencia de,Intangible Framing Attributes,Cortes 2008
de la historia argentina,Intangible Framing Attributes,Cortes 2008
de la historia de,Intangible Framing Attributes,Cortes 2008
de la necesidad de,Intangible Framing Attributes,Cortes 2008
de la política exterior,Intangible Framing Attributes,Cortes 2008
de la revolución de,Intangible Framing Attributes,Cortes 2008
de la sociedad civil,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
de la teoría de,Intangible Framing Attributes,TV2007
de las ciencias sociales,Intangible Framing Attributes,TV2007
de los derechos humanos,Intangible Framing Attributes,Cortes 2008
de los sectores populares,Intangible Framing Attributes,Cortes 2008
de mano de obra,Intangible Framing Attributes,Cortes 2008
desde el pundo de,Intangible Framing Attributes,TV2007
desde el punto de,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
el caso de la,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
el caso de las,Intangible Framing Attributes,TV2007
el caso de los,Intangible Framing Attributes,TV2007
el derecho a la,Intangible Framing Attributes,TV2007
el desarrollo de la,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
el golpe de estado,Intangible Framing Attributes,Cortes 2008
el marco de la,Intangible Framing Attributes,Cortes 2008
el problema de la,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
el punto de vista,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
el seno de la,Intangible Framing Attributes,Cortes 2008
el sentido de que,Intangible Framing Attributes,TV2007
el tema de la,Intangible Framing Attributes,Cortes 2008
en el ámbito de,Intangible Framing Attributes,Cortes 2008
en el area de,Intangible Framing Attributes,TV2007
en el campo de,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
en el caso de,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
en el caso del,Intangible Framing Attributes,TV2007
en el centro de,Intangible Framing Attributes,Cortes 2008
en el contexto de,Intangible Framing Attributes,Cortes 2008
en el marco de,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
en el proceso de,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
en el seno de,Intangible Framing Attributes,Cortes 2008
en el sentido de,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
en favor de la,Intangible Framing Attributes,Cortes 2008
en la construcción de,Intangible Framing Attributes,Cortes 2008
en la medida de,Intangible Framing Attributes,Cortes 2008
en la medida en,Intangible Framing Attributes,TV2007
en la necesidad de,Intangible Framing Attributes,Cortes 2008
en relación a la,Intangible Framing Attributes,Cortes 2008
en relación con el,Intangible Framing Attributes,TV2007
en relación con la,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
es el caso de,Intangible Framing Attributes,Cortes 2008
from the perspective of,Intangible Framing Attributes,"Cortes 2008, Nasrabady, Shirvan, & Golparvar (2020)"
in terms of the,Intangible Framing Attributes,"Biber, Conrad & Cortes, 2004, Cortes 2013, Damchevska 2019, Esfandiari & Barbary (2017), Gilmore & Millar (2018), Hong & Hua (2018), Nasrabady, Shirvan, & Golparvar (2020), Pan, Reppen & Biber (2016), Shahriari (2017), Shirazizadeh & Amirfazlian (2021), Wright (2019)"
in the absence of,Intangible Framing Attributes,"Biber, Conrad & Cortes, 2004, Cortes 2013, Wright (2019)"
in the case of,Intangible Framing Attributes,"Biber, Conrad & Cortes, 2004, Cortes 2008, Cortes 2013, Damchevska 2019, Esfandiari & Barbary (2017), Hong & Hua (2018), Pan, Reppen & Biber (2016), Shahriari (2017), Shahriari (2017), Shirazizadeh & Amirfazlian (2021), Wright (2019)"
in the context of,Intangible Framing Attributes,"Cortes 2008, Cortes 2013, Damchevska 2019, Gilmore & Millar (2018), Hong & Hua (2018), Pan, Reppen & Biber (2016), Shahriari (2017), Shirazizadeh & Amirfazlian (2021), Wright (2019)"
in the context of ,Intangible Framing Attributes,Wright (2019)
in the course of,Intangible Framing Attributes,Cortes 2008
in the eyes of,Intangible Framing Attributes,Cortes 2008
in the face of,Intangible Framing Attributes,Cortes 2008
in the history of,Intangible Framing Attributes,Cortes 2008
in the name of,Intangible Framing Attributes,Cortes 2008
in the presence of,Intangible Framing Attributes,"Biber, Conrad & Cortes, 2004, Cortes 2013, Damchevska 2019, Pan, Reppen & Biber (2016)"
in the words of,Intangible Framing Attributes,Cortes 2008
intangible framing attributes,Intangible Framing Attributes,Wright (2019)
la construcción de la,Intangible Framing Attributes,Cortes 2008
la construcción de un,Intangible Framing Attributes,Cortes 2008
la creación de la,Intangible Framing Attributes,Cortes 2008
la creación de un,Intangible Framing Attributes,Cortes 2008
la cuestión de la,Intangible Framing Attributes,Cortes 2008
la defensa de la,Intangible Framing Attributes,Cortes 2008
la existencia de un,Intangible Framing Attributes,Cortes 2008
la forma en que,Intangible Framing Attributes,Cortes 2008
la formación de la,Intangible Framing Attributes,Cortes 2008
la historia de la,Intangible Framing Attributes,Cortes 2008
la idea de la,Intangible Framing Attributes,Cortes 2008
la idea de que,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
la mano de obra,Intangible Framing Attributes,Cortes 2008
la medida en que,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
la práctica de la,Intangible Framing Attributes,TV2007
la sanción de la,Intangible Framing Attributes,Cortes 2008
la teoría de la,Intangible Framing Attributes,TV2007
la teoría de los,Intangible Framing Attributes,TV2007
los miembros de la,Intangible Framing Attributes,Cortes 2008
on the basis of,Intangible Framing Attributes,"Biber, Conrad & Cortes, 2004, Cortes 2008, Cortes 2013, Damchevska 2019, Esfandiari & Barbary (2017), Hong & Hua (2018), Lake & Cortes (2020), Shahriari (2017), Shirazizadeh & Amirfazlian (2021), Wright (2019)"
on the part of,Intangible Framing Attributes,"Cortes 2008, Cortes 2013, Shahriari (2017)"
over the course of,Intangible Framing Attributes,Cortes 2008
por parte de la/los,Intangible Framing Attributes,Cortes 2008
por parte de los,Intangible Framing Attributes,TV2007
punto de vista de,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
sobre la base de,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
the context of the,Intangible Framing Attributes,"Cortes 2008, Shahriari (2017), Shirazizadeh & Amirfazlian (2021)"
the course of the,Intangible Framing Attributes,Cortes 2008
the creation of a,Intangible Framing Attributes,Cortes 2008
the extent to which,Intangible Framing Attributes,"Biber, Conrad & Cortes, 2004, Cortes 2008, Damchevska 2019, Esfandiari & Barbary (2017), Hong & Hua (2018), Nasrabady, Shirvan, & Golparvar (2020), Shahriari (2017), Shirazizadeh & Amirfazlian (2021), Wright (2019)"
the history of the,Intangible Framing Attributes,Cortes 2008
the image of the,Intangible Framing Attributes,Cortes 2008
the nature of the,Intangible Framing Attributes,"Biber, Conrad & Cortes, 2004, Cortes 2008, Damchevska 2019, Hong & Hua (2018), Shahriari (2017), Shirazizadeh & Amirfazlian (2021), Wright (2019)"
the power of the,Intangible Framing Attributes,Cortes 2008
the results of the,Intangible Framing Attributes,"Cortes 2013, Damchevska 2019, Esfandiari & Barbary (2017), Gilmore & Millar (2018), Hong & Hua (2018), Nasrabady, Shirvan, & Golparvar (2020), Panthong & Poonpon (2020).pdf, Shahriari (2017), Shirazizadeh & Amirfazlian (2021), Wright (2019)"
the results of the ,Intangible Framing Attributes,Wright (2019)
the way in which,Intangible Framing Attributes,"Biber, Conrad & Cortes, 2004, Shahriari (2017)"
the ways in which,Intangible Framing Attributes,"Cortes 2008, Cortes 2013, Shahriari (2017), Shirazizadeh & Amirfazlian (2021)"
to the extent that,Intangible Framing Attributes,"Cortes 2008, Cortes 2013, Hong & Hua (2018)"
and we're going to,Intention/Prediction,"Biber, Conrad & Cortes, 2004"
are going to be,Intention/Prediction,"Biber, Conrad & Cortes, 2004"
are we going to,Intention/Prediction,"Biber, Conrad & Cortes, 2004"
are you going to,Intention/Prediction,"Biber, Conrad & Cortes, 2004"
going to be a,Intention/Prediction,"Biber, Conrad & Cortes, 2004"
going to be the,Intention/Prediction,"Biber, Conrad & Cortes, 2004"
going to have a,Intention/Prediction,"Biber, Conrad & Cortes, 2004"
i was going to,Intention/Prediction,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
i'm not going to,Intention/Prediction,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
is going to be,Intention/Prediction,"Biber, Conrad & Cortes, 2004"
it's going to be,Intention/Prediction,"Biber, Conrad & Cortes, 2004"
not going to be,Intention/Prediction,"Biber, Conrad & Cortes, 2004"
we're going to do,Intention/Prediction,"Biber, Conrad & Cortes, 2004"
we're going to have,Intention/Prediction,"Biber, Conrad & Cortes, 2004"
what we're going to,Intention/Prediction,"Biber, Conrad & Cortes, 2004"
a lo largo de,Multi-Function,Tracy-Ventura et al. 2007; Cortes 2008
a lo largo del,Multi-Function,Tracy-Ventura et al. 2007; Cortes 2008
a partir de ese,Multi-Function,Cortes 2008
a partir de la,Multi-Function,Tracy-Ventura et al. 2007; Cortes 2008
a partir de los,Multi-Function,TV2007
a partir de su,Multi-Function,Cortes 2008
a partir de un,Multi-Function,Cortes 2008
a través de la,Multi-Function,Tracy-Ventura et al. 2007; Cortes 2008
a través de las,Multi-Function,TV2007
a través de los,Multi-Function,TV2007
a través de su,Multi-Function,Cortes 2008
a través de un,Multi-Function,Cortes 2008
at the beginning of,Multi-Function,"Cortes 2008, Damchevska 2019, Shahriari (2017), Shirazizadeh & Amirfazlian (2021)"
at the end of,Multi-Function,"Biber, Conrad & Cortes, 2004, Cortes 2008, Damchevska 2019, Esfandiari & Barbary (2017), Panthong & Poonpon (2020).pdf, Shahriari (2017), Shirazizadeh & Amirfazlian (2021), Wright (2019)"
at the turn of,Multi-Function,Cortes 2008
by the end of,Multi-Function,Cortes 2008
in the middle of,Multi-Function,"Biber, Conrad & Cortes, 2004, Lake & Cortes (2020)"
in the midst of,Multi-Function,Cortes 2008
lo largo de la/los,Multi-Function,Cortes 2008
más allá de la/las,Multi-Function,Cortes 2008
the beginning of the,Multi-Function,"Biber, Conrad & Cortes, 2004, Cortes 2008, Damchevska 2019, Shahriari (2017), Shirazizadeh & Amirfazlian (2021)"
the end of the,Multi-Function,"Biber, Conrad & Cortes, 2004, Cortes 2008, Damchevska 2019, Lake & Cortes (2020), Panthong & Poonpon (2020).pdf, Shahriari (2017), Shirazizadeh & Amirfazlian (2021), Wright (2019)"
the top of the,Multi-Function,"Biber, Conrad & Cortes, 2004"
the turn of the,Multi-Function,Cortes 2008
and you have to,Obligation/Directive,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
do you want me,Obligation/Directive,"Biber, Conrad & Cortes, 2004"
going to have to,Obligation/Directive,"Biber, Conrad & Cortes, 2004"
i want you to,Obligation/Directive,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
it is necessary to,Obligation/Directive,"Biber, Conrad & Cortes, 2004, Cortes 2013, Damchevska 2019, Pan, Reppen & Biber (2016), Shahriari (2017), Shirazizadeh & Amirfazlian (2021)"
you don't have to,Obligation/Directive,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
you don't want to,Obligation/Directive,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
you have to be,Obligation/Directive,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
you have to do,Obligation/Directive,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
you look at the,Obligation/Directive,"Biber, Conrad & Cortes, 2004"
you might want to,Obligation/Directive,"Biber, Conrad & Cortes, 2004"
you need to know,Obligation/Directive,"Biber, Conrad & Cortes, 2004"
you want me to,Obligation/Directive,"Biber, Conrad & Cortes, 2004"
américa latina y el,Place-Institution,TV2007
and the united states,Place-Institution,Cortes 2008
at the university of,Place-Institution,Cortes 2008
banco de la nación,Place-Institution,Cortes 2008
by the united states,Place-Institution,Cortes 2008
ciudad de buenos aires,Place-Institution,Cortes 2008
de buenos aires y,Place-Institution,Cortes 2008
de la ciudad de,Place-Institution,"Cortes 2008, Lake & Cortes (2020)"
de la facultad de,Place-Institution,Tracy-Ventura et al. 2007; Cortes 2008
de la nación argentina,Place-Institution,Cortes 2008
de la provincia de,Place-Institution,Tracy-Ventura et al. 2007; Cortes 2008
de la sociedad argentina,Place-Institution,Cortes 2008
de la sociedad de,Place-Institution,Cortes 2008
de la universidad de,Place-Institution,"Lake & Cortes (2020), Tracy-Ventura et al. 2007; Cortes 2008 "
de la universidad nacional,Place-Institution,Cortes 2008
de las fuerzas armadas,Place-Institution,Cortes 2008
de los estados unidos,Place-Institution,Tracy-Ventura et al. 2007; Cortes 2008
del banco de la,Place-Institution,Cortes 2008
el río de la,Place-Institution,Cortes 2008
en el río de,Place-Institution,Cortes 2008
en el siglo xix,Place-Institution,Cortes 2008
en la argentina de,Place-Institution,Cortes 2008
en la ciudad de,Place-Institution,Cortes 2008
en la facultad de,Place-Institution,Cortes 2008
en la provincia de,Place-Institution,Cortes 2008
en la universidad de,Place-Institution,TV2007
en los estados unidos,Place-Institution,TV2007
in the soviet union,Place-Institution,Cortes 2008
in the study,Place-Institution,"Nasrabady, Shirvan, & Golparvar (2020)"
in the united states,Place-Institution,"Biber, Conrad & Cortes, 2004, Cortes 2008, Nasrabady, Shirvan, & Golparvar (2020), Shahriari (2017), Wright (2019)"
la cámara de diputados,Place-Institution,Cortes 2008
la ciudad de buenos,Place-Institution,Cortes 2008
la facultad de ciencias,Place-Institution,Tracy-Ventura et al. 2007; Cortes 2008
la provincia de buenos,Place-Institution,Cortes 2008
la unión cívica radical,Place-Institution,Cortes 2008
la universidad de buenos,Place-Institution,Tracy-Ventura et al. 2007; Cortes 2008
la universidad nacional de,Place-Institution,Cortes 2008
latina y el caribe,Place-Institution,TV2007
mexico and the united,Place-Institution,Cortes 2008
of the american revolution,Place-Institution,Cortes 2008
of the cold war,Place-Institution,Cortes 2008
of the united states,Place-Institution,"Biber, Conrad & Cortes, 2004, Cortes 2008"
provincia de buenos aires,Place-Institution,Cortes 2008
río de la plata,Place-Institution,Cortes 2008
that the united states,Place-Institution,Cortes 2008
the civil rights movement,Place-Institution,Cortes 2008
the new york times,Place-Institution,Cortes 2008
the united states and,Place-Institution,"Biber, Conrad & Cortes, 2004, Cortes 2008"
the united states as,Place-Institution,Cortes 2008
the united states had,Place-Institution,Cortes 2008
the united states in,Place-Institution,Cortes 2008
the united states is,Place-Institution,Cortes 2008
the united states to,Place-Institution,Cortes 2008
the united states was,Place-Institution,Cortes 2008
to the united states,Place-Institution,Cortes 2008
universidad de buenos aires,Place-Institution,Tracy-Ventura et al. 2007; Cortes 2008
with the united states,Place-Institution,Cortes 2008
thank you very much,Politeness,"Biber, Conrad & Cortes, 2004"
a little bit more,Quantity Specification,"Biber, Conrad & Cortes, 2004"
a little bit of,Quantity Specification,"Biber, Conrad & Cortes, 2004"
a lot of people,Quantity Specification,"Biber, Conrad & Cortes, 2004"
a lot of the,Quantity Specification,"Biber, Conrad & Cortes, 2004"
a lot of times,Quantity Specification,"Biber, Conrad & Cortes, 2004"
and a lot of,Quantity Specification,"Biber, Conrad & Cortes, 2004"
buena parte de los,Quantity Specification,Cortes 2008
el resto de los,Quantity Specification,Cortes 2008
en la mayoría de,Quantity Specification,"Cortes 2008, TV2007"
for the first time,Quantity Specification,"Cortes 2008, Cortes 2013"
greater than or equal,Quantity Specification,"Biber, Conrad & Cortes, 2004"
have a lot of,Quantity Specification,"Biber, Conrad & Cortes, 2004"
how many of you,Quantity Specification,"Biber, Conrad & Cortes, 2004"
in a lot of,Quantity Specification,"Biber, Conrad & Cortes, 2004"
la mayor parte de,Quantity Specification,Tracy-Ventura et al. 2007; Cortes 2008
la mayoría de las,Quantity Specification,TV2007
la mayoría de las/los,Quantity Specification,Cortes 2008
la mayoría de los,Quantity Specification,TV2007
mayor parte de los,Quantity Specification,Cortes 2008
per cent of the,Quantity Specification,"Biber, Conrad & Cortes, 2004, Hong & Hua (2018), Shirazizadeh & Amirfazlian (2021)"
than or equal to,Quantity Specification,"Biber, Conrad & Cortes, 2004"
the majority of the,Quantity Specification,"Cortes 2008, Panthong & Poonpon (2020).pdf, Shahriari (2017)"
the rest of the,Quantity Specification,"Biber, Conrad & Cortes, 2004, Cortes 2008, Cortes 2013, Hong & Hua (2018), Shahriari (2017), Shirazizadeh & Amirfazlian (2021)"
there's a lot of,Quantity Specification,"Biber, Conrad & Cortes, 2004"
i said to him/her,Reporting,"Biber, Conrad & Cortes, 2004"
a la que se,Structural,Cortes 2008
de lo que se,Structural,Cortes 2008
en el que la,Structural,Cortes 2008
en el que se,Structural,TV2007
en el que se/la/los,Structural,Cortes 2008
en la que el ,Structural,Cortes 2008
en la que se,Structural,TV2007
de la mano de,Tangible Framing Attributes,Cortes 2008
en el grupo de,Tangible Framing Attributes,TV2007
in the form of,Tangible Framing Attributes,"Biber, Conrad & Cortes, 2004, Cortes 2008, Damchevska 2019, Esfandiari & Barbary (2017), Gilmore & Millar (2018), Hong & Hua (2018), Shahriari (2017), Shirazizadeh & Amirfazlian (2021), Wright (2019)"
in the hands of,Tangible Framing Attributes,Cortes 2008
the size of the,Tangible Framing Attributes,"Biber, Conrad & Cortes, 2004, Cortes 2013, Damchevska 2019, Gilmore & Millar (2018), Hong & Hua (2018), Pan, Reppen & Biber (2016), Shahriari (2017)"
as shown in figure,Text deixis,"Biber, Conrad & Cortes, 2004, Damchevska 2019, Pan, Reppen & Biber (2016)"
shown in figure n,Text deixis,"Biber, Conrad & Cortes, 2004"
a fines del siglo,Time-Event,Cortes 2008
a la hora de,Time-Event,Cortes 2008
a la vez que,Time-Event,Tracy-Ventura et al. 2007; Cortes 2008
after world war ii,Time-Event,Cortes 2008
al mismo tiempo que,Time-Event,Cortes 2008
at a time when,Time-Event,Cortes 2008
at the same time,Time-Event,"Biber, Conrad & Cortes, 2004, Cortes 2008, Cortes 2013, Damchevska 2019, Gilmore & Millar (2018), Hong & Hua (2018), LGSWE conversation, Pan, Reppen & Biber (2016), Shahriari (2017), Shirazizadeh & Amirfazlian (2021), Wright (2019)"
at the time of,Time-Event,"Biber, Conrad & Cortes, 2004, Cortes 2008, Cortes 2013, Panthong & Poonpon (2020).pdf, Shirazizadeh & Amirfazlian (2021), Wright (2019)"
de la década de,Time-Event,Tracy-Ventura et al. 2007; Cortes 2008
de la década del,Time-Event,Tracy-Ventura et al. 2007; Cortes 2008
de la segunda guerra,Time-Event,Cortes 2008
desde fines del siglo,Time-Event,Cortes 2008
el momento en que,Time-Event,Tracy-Ventura et al. 2007; Cortes 2008
en el momento de,Time-Event,Cortes 2008
en la década de,Time-Event,Cortes 2008
en la década del,Time-Event,Cortes 2008
en la segunda mitad,Time-Event,Cortes 2008
fines de la década,Time-Event,Cortes 2008
fines del siglo xix,Time-Event,Cortes 2008
fines del siglo xviii,Time-Event,Cortes 2008
in the eighteenth century,Time-Event,Cortes 2008
in the late nineteenth,Time-Event,Cortes 2008
in the nineteenth century,Time-Event,Cortes 2008
in the summer of,Time-Event,Cortes 2008
in the twentieth century,Time-Event,Cortes 2008
in the wake of,Time-Event,Cortes 2008
la década de 1920,Time-Event,Cortes 2008
la década de 1930,Time-Event,Cortes 2008
la década del treinta,Time-Event,Cortes 2008
la primera mitad de,Time-Event,Cortes 2008
la segunda guerra mundial,Time-Event,Cortes 2008
la segunda mitad de,Time-Event,Cortes 2008
la segunda mitad del,Time-Event,Cortes 2008
mediados de la década,Time-Event,Cortes 2008
mitad de la década,Time-Event,Cortes 2008
mitad del siglo xix,Time-Event,Cortes 2008
of the eighteenth century,Time-Event,Cortes 2008
of the nineteenth century,Time-Event,Cortes 2008
of the twentieth century,Time-Event,Cortes 2008
on the eve of,Time-Event,Cortes 2008
partir de los años,Time-Event,Cortes 2008
primera mitad del siglo,Time-Event,Cortes 2008
segunda mitad del siglo,Time-Event,Cortes 2008
the 1920s and 1930s,Time-Event,Cortes 2008
the early twentieth century,Time-Event,Cortes 2008
the eve of the,Time-Event,Cortes 2008
the late nineteenth century,Time-Event,Cortes 2008
turn of the century,Time-Event,Cortes 2008
as well as a,Topic Elaboration/Clarification,Cortes 2008
as well as the,Topic Elaboration/Clarification,"Biber, Conrad & Cortes, 2004, Cortes 2008, Cortes 2013, Damchevska 2019, Esfandiari & Barbary (2017), Gilmore & Millar (2018), Hong & Hua (2018), Pan, Reppen & Biber (2016), Shahriari (2017), Shirazizadeh & Amirfazlian (2021), Wright (2019)"
as well as the 10.2%,Topic Elaboration/Clarification,Wright (2019)
has to do with,Topic Elaboration/Clarification,"Biber, Conrad & Cortes, 2004, Shirazizadeh & Amirfazlian (2021)"
i mean you know,Topic Elaboration/Clarification,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
know what i mean,Topic Elaboration/Clarification,"Biber, Conrad & Cortes, 2004"
lo que pasa es que,Topic Elaboration/Clarification,TV2007
nothing to do with,Topic Elaboration/Clarification,"Biber, Conrad & Cortes, 2004"
on the one hand,Topic Elaboration/Clarification,"Cortes 2008, Cortes 2013, Damchevska 2019, Hong & Hua (2018), LGSWE conversation, Shahriari (2017)"
on the other hand,Topic Elaboration/Clarification,"Biber, Conrad & Cortes, 2004, Cortes 2008, Cortes 2013, Damchevska 2019, Esfandiari & Barbary (2017), Hong & Hua (2018), LGSWE conversation, Nasrabady, Shirvan, & Golparvar (2020), Pan, Reppen & Biber (2016), Panthong & Poonpon (2020).pdf, Shahriari (2017), Shahriari (2017), Shirazizadeh & Amirfazlian (2021), Wright (2019)"
por eso es que,Topic Elaboration/Clarification,TV2007
que es lo que,Topic Elaboration/Clarification,TV2007
qué es lo que,Topic Elaboration/Clarification,TV2007
to do with the,Topic Elaboration/Clarification,"Biber, Conrad & Cortes, 2004"
was going to say,Topic Elaboration/Clarification,"Biber, Conrad & Cortes, 2004"
what do you mean,Topic Elaboration/Clarification,"Biber, Conrad & Cortes, 2004"
you know i mean,Topic Elaboration/Clarification,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
a little bit about,Topic Introduction/Focus,"Biber, Conrad & Cortes, 2004"
and one of the,Topic Introduction/Focus,"Biber, Conrad & Cortes, 2004"
and this is a,Topic Introduction/Focus,"Biber, Conrad & Cortes, 2004"
and this is the,Topic Introduction/Focus,"Biber, Conrad & Cortes, 2004"
cada una de las,Topic Introduction/Focus,Tracy-Ventura et al. 2007; Cortes 2008
cada uno de los,Topic Introduction/Focus,"Lake & Cortes (2020), TV2007"
de las cosas que,Topic Introduction/Focus,TV2007
de lo que es,Topic Introduction/Focus,TV2007
de una serie de,Topic Introduction/Focus,Cortes 2008
do you know what,Topic Introduction/Focus,"Biber, Conrad & Cortes, 2004"
en cuanto a la,Topic Introduction/Focus,Tracy-Ventura et al. 2007; Cortes 2008
en este sentido la,Topic Introduction/Focus,Cortes 2008
